latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-12.61185,133.77208,311.26,1.14,1.06,2024-05-21,0054,T,58,6.1NRT,299.13,6.9,D
-12.28838,131.40239,316.63,1,1,2024-05-21,0054,T,71,6.1NRT,300.85,8.41,D
-12.68423,133.87837,311.65,1.16,1.07,2024-05-21,0054,T,60,6.1NRT,298.72,6.55,D
-12.5987,133.19397,309.3,1.08,1.04,2024-05-21,0054,T,45,6.1NRT,297.8,4.68,D
-12.31014,131.10669,315.35,1.01,1,2024-05-21,0054,T,69,6.1NRT,298.89,9.38,D
-12.31147,131.11577,317.06,1.01,1,2024-05-21,0054,T,72,6.1NRT,299.72,10.88,D
-12.5711,132.93692,315.23,1.05,1.03,2024-05-21,0054,T,68,6.1NRT,300.91,8.12,D
-12.57241,132.94644,315.93,1.06,1.03,2024-05-21,0054,T,67,6.1NRT,301.29,9.12,D
-12.61795,132.94002,339.91,1.06,1.03,2024-05-21,0054,T,90,6.1NRT,302.44,39.99,D
-12.61928,132.94954,327.31,1.06,1.03,2024-05-21,0054,T,82,6.1NRT,301.78,20.99,D
-12.63751,132.94699,313.34,1.06,1.03,2024-05-21,0054,T,62,6.1NRT,299.98,6.98,D
-12.63885,132.95653,310.44,1.06,1.03,2024-05-21,0054,T,35,6.1NRT,299.31,4.61,D
-12.66965,132.98482,313,1.06,1.03,2024-05-21,0054,T,63,6.1NRT,299.94,6.65,D
-12.67097,132.9944,318.12,1.06,1.03,2024-05-21,0054,T,73,6.1NRT,300.96,11.49,D
-12.7035,132.96054,315.43,1.06,1.03,2024-05-21,0054,T,52,6.1NRT,301.42,8.26,D
-12.71283,133.02768,316.38,1.06,1.03,2024-05-21,0054,T,70,6.1NRT,300.97,9.59,D
-12.71396,132.96883,339.4,1.06,1.03,2024-05-21,0054,T,90,6.1NRT,301.41,37.95,D
-12.71529,132.97838,340.55,1.06,1.03,2024-05-21,0054,T,91,6.1NRT,302.57,39.1,D
-12.71662,132.98795,325.22,1.06,1.03,2024-05-21,0054,T,67,6.1NRT,301.47,16.98,D
-12.71796,132.99754,320.34,1.06,1.03,2024-05-21,0054,T,46,6.1NRT,300.91,11.59,D
-12.69382,132.75856,320.75,1.04,1.02,2024-05-21,0054,T,75,6.1NRT,300.91,12.42,D
-12.69514,132.76799,325.25,1.04,1.02,2024-05-21,0054,T,80,6.1NRT,302.98,18.1,D
-12.69646,132.77742,320.48,1.04,1.02,2024-05-21,0054,T,73,6.1NRT,301.66,12.25,D
-12.41017,130.66513,313.66,1.02,1.01,2024-05-21,0054,T,35,6.1NRT,298.67,5.86,D
-12.41506,130.63611,310.9,1.02,1.01,2024-05-21,0054,T,35,6.1NRT,299.52,4.77,D
-12.41642,130.64534,313.83,1.02,1.01,2024-05-21,0054,T,44,6.1NRT,299.34,6.52,D
-13.031,134.01071,309.98,1.18,1.08,2024-05-21,0054,T,56,6.1NRT,297.89,6.46,D
-12.59152,130.64424,313.39,1.02,1.01,2024-05-21,0054,T,65,6.1NRT,299.67,7.35,D
-12.59288,130.65344,313.91,1.02,1.01,2024-05-21,0054,T,66,6.1NRT,299.67,7.32,D
-12.89461,132.54889,320.05,1.03,1.02,2024-05-21,0054,T,74,6.1NRT,300.97,13.4,D
-12.90767,132.64255,314.23,1.04,1.02,2024-05-21,0054,T,61,6.1NRT,302.32,6.45,D
-12.90362,132.54761,344.89,1.03,1.02,2024-05-21,0054,T,93,6.1NRT,302.06,48.6,D
-12.90493,132.55695,328.18,1.03,1.02,2024-05-21,0054,T,82,6.1NRT,302.24,21.49,D
-12.91802,132.65067,312.38,1.04,1.02,2024-05-21,0054,T,33,6.1NRT,301.39,5.09,D
-12.66632,130.71153,328.95,1.02,1.01,2024-05-21,0054,T,83,6.1NRT,301.1,22.24,D
-12.66768,130.72072,316.68,1.02,1.01,2024-05-21,0054,T,69,6.1NRT,301.16,8.81,D
-12.67662,130.71938,316.59,1.02,1.01,2024-05-21,0054,T,69,6.1NRT,299.07,8.9,D
-12.95551,132.65492,322.36,1.04,1.02,2024-05-21,0054,T,77,6.1NRT,301.11,14.77,D
-12.96213,132.70203,315.93,1.04,1.02,2024-05-21,0054,T,44,6.1NRT,301,7.81,D
-12.97118,132.70073,317.21,1.04,1.02,2024-05-21,0054,T,60,6.1NRT,301.89,9.3,D
-12.97251,132.71017,315.51,1.04,1.02,2024-05-21,0054,T,51,6.1NRT,300.79,7.72,D
-12.76555,130.8213,325.65,1.01,1.01,2024-05-21,0054,T,80,6.1NRT,299.08,17.83,D
-12.77447,130.81996,324.34,1.01,1.01,2024-05-21,0054,T,79,6.1NRT,300.91,17.37,D
-12.77582,130.82912,316.96,1.01,1.01,2024-05-21,0054,T,70,6.1NRT,299.14,9.7,D
-13.24157,133.9915,310.39,1.19,1.08,2024-05-21,0054,T,41,6.1NRT,298.37,5.9,D
-13.26368,133.98264,312.14,1.19,1.08,2024-05-21,0054,T,63,6.1NRT,298.71,8.65,D
-13.05883,132.27634,334.39,1.02,1.01,2024-05-21,0054,T,87,6.1NRT,301.93,29.59,D
-13.06014,132.28557,334.6,1.02,1.01,2024-05-21,0054,T,87,6.1NRT,303.38,30.4,D
-13.06144,132.2948,310.52,1.02,1.01,2024-05-21,0054,T,53,6.1NRT,300.41,4.35,D
-13.12832,132.77243,313.58,1.05,1.02,2024-05-21,0054,T,62,6.1NRT,301.69,6.08,D
-13.10294,132.45917,323.46,1.03,1.01,2024-05-21,0054,T,78,6.1NRT,302.1,15.39,D
-13.12996,132.45535,317.25,1.03,1.01,2024-05-21,0054,T,56,6.1NRT,302.06,8.54,D
-13.15755,132.45444,312.14,1.03,1.01,2024-05-21,0054,T,39,6.1NRT,302.12,5.04,D
-12.88469,130.44255,311.48,1.03,1.01,2024-05-21,0054,T,57,6.1NRT,299.78,6.58,D
-13.05649,131.48872,318.1,1,1,2024-05-21,0054,T,69,6.1NRT,302.87,8.84,D
-13.0578,131.49777,315.37,1,1,2024-05-21,0054,T,51,6.1NRT,303.04,6.2,D
-13.06668,131.49648,315.08,1,1,2024-05-21,0054,T,44,6.1NRT,302.25,5.24,D
-13.0821,131.54042,314.04,1,1,2024-05-21,0054,T,50,6.1NRT,301.22,4.43,D
-13.18399,132.25182,312.21,1.02,1.01,2024-05-21,0054,T,58,6.1NRT,302.01,4.97,D
-13.17165,131.90126,313.45,1.01,1,2024-05-21,0054,T,55,6.1NRT,301.23,5.95,D
-13.22359,132.26834,310.48,1.02,1.01,2024-05-21,0054,T,27,6.1NRT,298.43,4.01,D
-13.23517,132.28561,314.47,1.02,1.01,2024-05-21,0054,T,65,6.1NRT,300.4,7.57,D
