latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
48.91677,135.02873,338.74,3.11,1.67,2024-05-21,0217,T,91,6.1NRT,296.43,189.01,D
48.90642,135.06773,339.14,3.13,1.68,2024-05-21,0217,T,86,6.1NRT,296.31,194.07,D
48.91319,134.98186,308.33,3.09,1.67,2024-05-21,0217,T,45,6.1NRT,294.5,25.71,D
48.90293,135.02043,315.03,3.11,1.67,2024-05-21,0217,T,75,6.1NRT,293.74,51.13,D
51.85512,118.48006,313.34,1.26,1.12,2024-05-21,0217,T,53,6.1NRT,289.24,12.83,D
51.70493,118.64903,327.39,1.24,1.11,2024-05-21,0217,T,42,6.1NRT,286.85,28.86,D
51.61409,118.54545,320.86,1.25,1.11,2024-05-21,0217,T,80,6.1NRT,291.56,19.59,D
51.61225,118.56317,310.58,1.25,1.11,2024-05-21,0217,T,52,6.1NRT,291.93,7.75,D
51.53173,119.22556,325.87,1.18,1.08,2024-05-21,0217,T,24,6.1NRT,286.43,23.25,D
51.50323,119.21776,347.62,1.18,1.08,2024-05-21,0217,T,92,6.1NRT,293.2,63.72,D
51.50145,119.23418,337.57,1.18,1.08,2024-05-21,0217,T,66,6.1NRT,295.59,40.71,D
51.49373,119.21523,361.95,1.18,1.08,2024-05-21,0217,T,100,6.1NRT,297,107.93,D
51.49197,119.23154,434.42,1.18,1.08,2024-05-21,0217,T,100,6.1NRT,308.93,665.08,D
51.49017,119.24812,327.04,1.18,1.08,2024-05-21,0217,T,78,6.1NRT,295.58,23.89,D
51.48882,119.22476,408.77,1.18,1.08,2024-05-21,0217,T,75,6.1NRT,304.48,387.67,D
51.48698,119.2413,368.34,1.18,1.08,2024-05-21,0217,T,75,6.1NRT,296.65,134.96,D
51.47528,119.17025,315.51,1.18,1.08,2024-05-21,0217,T,74,6.1NRT,293.48,10.3,D
51.4735,119.1865,328.26,1.18,1.08,2024-05-21,0217,T,85,6.1NRT,297.2,26.55,D
51.53847,117.98298,323.18,1.31,1.14,2024-05-21,0217,T,73,6.1NRT,299.35,20.98,D
51.4808,117.84799,318.96,1.32,1.14,2024-05-21,0217,T,60,6.1NRT,297.22,15.22,D
51.47895,117.86702,315.2,1.32,1.14,2024-05-21,0217,T,39,6.1NRT,300.13,9.15,D
51.09986,118.70018,356.36,1.22,1.1,2024-05-21,0217,T,98,6.1NRT,297.5,96.39,D
47.53682,133.67006,310.67,2.96,1.64,2024-05-21,0217,T,35,6.1NRT,298.51,29.94,D
48.81062,126.0858,316.28,1.19,1.09,2024-05-21,0217,T,72,6.1NRT,293.7,14.53,D
47.11361,130.88567,305.64,2.19,1.43,2024-05-21,0217,T,46,6.1NRT,290.59,15.9,D
46.99893,130.72687,308.55,2.16,1.43,2024-05-21,0217,T,21,6.1NRT,297.25,16.64,D
47.92012,122.77045,323.34,1.01,1.01,2024-05-21,0217,T,81,6.1NRT,297.91,12.72,D
46.38132,123.633,320.82,1.08,1.04,2024-05-21,0217,T,39,6.1NRT,298.66,8.74,D
46.37234,123.62991,323.38,1.08,1.04,2024-05-21,0217,T,67,6.1NRT,298.2,12.26,D
46.37008,123.6434,316.93,1.08,1.04,2024-05-21,0217,T,49,6.1NRT,299.63,5.53,D
46.31421,123.53207,324.54,1.07,1.03,2024-05-21,0217,T,79,6.1NRT,299.17,17.52,D
46.31197,123.54552,318.16,1.08,1.04,2024-05-21,0217,T,71,6.1NRT,298.17,10.12,D
45.63629,122.82415,320.73,1.05,1.02,2024-05-21,0217,T,73,6.1NRT,301.01,8.77,D
45.4561,123.80055,311.06,1.12,1.05,2024-05-21,0217,T,0,6.1NRT,294.28,4.48,D
44.11452,129.20847,308.66,2.17,1.43,2024-05-21,0217,T,40,6.1NRT,297.23,14.36,D
44.11422,129.20148,308.43,2.17,1.43,2024-05-21,0217,T,40,6.1NRT,297.13,13.29,D
44.39068,123.18343,316.01,1.1,1.05,2024-05-21,0217,T,39,6.1NRT,300.43,7.79,D
43.73848,126.04077,308.28,1.5,1.21,2024-05-21,0219,T,46,6.1NRT,294.18,5.6,D
43.7347,126.03367,308.64,1.5,1.21,2024-05-21,0219,T,54,6.1NRT,295.22,7.08,D
44.02399,122.75631,317.21,1.08,1.04,2024-05-21,0219,T,54,6.1NRT,302.32,5.32,D
43.75784,122.32974,321.6,1.06,1.03,2024-05-21,0219,T,64,6.1NRT,302.23,7.68,D
43.52355,123.44595,316.51,1.16,1.07,2024-05-21,0219,T,47,6.1NRT,301.45,6.81,D
42.51564,127.80488,303.79,2,1.38,2024-05-21,0219,T,50,6.1NRT,293.68,13.25,D
43.48094,122.26012,318.49,1.07,1.03,2024-05-21,0219,T,54,6.1NRT,304.07,7.26,D
43.8948,119.43569,327.65,1.01,1.01,2024-05-21,0219,T,67,6.1NRT,312.5,9,D
43.67008,120.93356,322.45,1.01,1,2024-05-21,0219,T,58,6.1NRT,304.24,6.89,D
42.81388,125.04862,310.09,1.4,1.17,2024-05-21,0219,T,53,6.1NRT,297.25,7.36,D
42.81574,123.3279,321.93,1.17,1.08,2024-05-21,0219,T,33,6.1NRT,300.86,13.28,D
42.80639,123.32491,324.18,1.17,1.08,2024-05-21,0219,T,68,6.1NRT,301.14,16.79,D
42.80397,123.33874,322.36,1.18,1.08,2024-05-21,0219,T,50,6.1NRT,301.32,14.52,D
42.78745,121.99414,318.54,1.06,1.03,2024-05-21,0219,T,56,6.1NRT,303.83,6.87,D
42.46029,123.33598,315.6,1.19,1.09,2024-05-21,0219,T,44,6.1NRT,300.18,6.54,D
42.45787,123.34991,317.6,1.19,1.09,2024-05-21,0219,T,68,6.1NRT,299.61,9.21,D
42.45544,123.36386,321.37,1.19,1.09,2024-05-21,0219,T,74,6.1NRT,300.57,13.96,D
42.45301,123.37778,316.76,1.2,1.09,2024-05-21,0219,T,64,6.1NRT,300.31,8.43,D
42.71349,121.53084,318.05,1.04,1.02,2024-05-21,0219,T,51,6.1NRT,303.54,6.14,D
42.21815,123.88705,311.24,1.27,1.12,2024-05-21,0219,T,13,6.1NRT,297.59,7.27,D
42.42144,122.56517,316.39,1.12,1.05,2024-05-21,0219,T,30,6.1NRT,300.9,5.33,D
42.21539,123.43799,318.04,1.21,1.09,2024-05-21,0219,T,70,6.1NRT,301.6,8.91,D
41.93719,123.48064,316.42,1.23,1.1,2024-05-21,0219,T,53,6.1NRT,298.23,8.41,D
41.9313,123.34428,315.68,1.21,1.1,2024-05-21,0219,T,64,6.1NRT,299.89,7.87,D
41.90472,123.38052,314.23,1.22,1.1,2024-05-21,0219,T,54,6.1NRT,299.54,6.53,D
41.88437,123.30807,317.83,1.21,1.09,2024-05-21,0219,T,67,6.1NRT,298.51,10.07,D
41.84413,123.53509,322.67,1.24,1.11,2024-05-21,0219,T,77,6.1NRT,301.31,15.91,D
41.86377,123.19837,313.54,1.2,1.09,2024-05-21,0219,T,36,6.1NRT,297.56,4.86,D
41.82742,123.29011,332.39,1.21,1.09,2024-05-21,0219,T,68,6.1NRT,300.29,25.89,D
41.73661,123.55602,318.28,1.25,1.11,2024-05-21,0219,T,70,6.1NRT,295.67,11.8,D
42.04681,121.68241,318.04,1.06,1.03,2024-05-21,0219,T,56,6.1NRT,302.18,7.84,D
41.78305,123.18201,320.43,1.2,1.09,2024-05-21,0219,T,25,6.1NRT,300.64,10.06,D
41.77641,123.10687,318.96,1.19,1.09,2024-05-21,0219,T,40,6.1NRT,298.69,9.58,D
41.75219,123.18707,321.94,1.2,1.09,2024-05-21,0219,T,42,6.1NRT,299.54,10.49,D
